dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
160,0.2189496,0.071880706,-0.14706889,0.32829794
161,0.010262682,0.009046609,-0.0012160735,0.8815053
162,0.09093249,0.071594395,-0.019338094,0.7873357
163,0.0055659707,0.012695634,0.007129663,2.280938
164,0.03804264,0.045968205,0.007925566,1.2083337
165,0.09094902,0.015815224,-0.0751338,0.1738911
166,0.01298123,0.0088774,-0.00410383,0.6838643
167,0.05634968,0.063656524,0.007306844,1.1296697
168,0.053513054,0.24885789,0.19534484,4.6504145
169,0.026907722,0.008014033,-0.018893689,0.29783395
170,0.013546326,0.005783917,-0.0077624093,0.4269731
171,0.025253342,0.08159341,0.05634007,3.2309945
172,0.013149314,0.0036840467,-0.009465267,0.28017026
173,0.14119783,0.06538084,-0.07581699,0.46304423
174,0.05546187,0.0628159,0.0073540285,1.1325961
175,0.06585472,0.09558522,0.029730499,1.4514558
176,0.0051016323,0.0022094974,-0.002892135,0.43309617
177,0.017827747,0.0048697144,-0.012958033,0.27315366
178,0.061490044,0.025779499,-0.035710543,0.4192467
179,0.22603564,0.2423638,0.016328156,1.0722371
180,0.008244494,0.02365216,0.015407667,2.8688433
181,0.0068111364,0.002009368,-0.0048017683,0.29501215
182,0.027387874,0.081982724,0.054594852,2.9933949
183,0.009738386,0.025412127,0.015673742,2.6094804
184,0.47734046,0.6210013,0.14366084,1.300961
185,0.010361727,0.0036924963,-0.0066692308,0.35635915
186,0.028465478,0.009395013,-0.019070465,0.33004937
187,0.020012215,0.024484001,0.0044717863,1.2234528
188,0.09732381,0.3597296,0.26240578,3.6962135
189,0.13341556,0.16306247,0.029646903,1.2222147
190,0.12591721,0.08604079,-0.039876424,0.68331236
191,0.0023218472,0.005918106,0.0035962588,2.5488782
192,0.011252543,0.0026741116,-0.008578431,0.23764509
193,0.01014612,0.13468915,0.12454303,13.274942
194,0.06959465,0.08572533,0.016130678,1.2317804
195,0.005411644,0.008098805,0.0026871613,1.4965518
196,0.20798223,0.09329449,-0.11468774,0.4485695
197,0.033631887,0.03094615,-0.0026857369,0.9201431
198,0.021940768,0.0047152354,-0.017225532,0.2149075
199,0.010673711,0.3801799,0.3695062,35.618343
200,0.0054965573,0.007684457,0.0021878998,1.3980491
201,0.030814903,0.2940971,0.26328218,9.543989
202,0.009416968,0.019047389,0.009630421,2.022667
203,0.022285886,0.03106747,0.008781584,1.3940424
204,0.0079061575,0.005557437,-0.0023487206,0.70292515
205,0.004555263,0.48752654,0.48297128,107.024895
206,0.0066123893,0.036134448,0.029522058,5.4646583
207,0.007537591,0.021153694,0.013616104,2.8064265
208,0.032157388,0.00979914,-0.022358248,0.30472437
209,0.10212708,0.109923474,0.007796392,1.0763401
210,0.010816009,0.019536357,0.008720349,1.8062446
211,0.004618505,0.01588987,0.011271365,3.440479
212,0.034449987,0.015483775,-0.018966213,0.44945663
213,0.02479332,0.022624217,-0.0021691024,0.9125126
214,0.0523633,0.06856499,0.01620169,1.3094093
215,0.0064488202,0.004142032,-0.0023067882,0.642293
216,0.07166485,0.08793949,0.016274646,1.2270938
217,0.006579673,0.03261984,0.026040168,4.9576693
218,0.039315805,0.016053172,-0.023262633,0.40831345
219,0.008976689,0.016827634,0.007850945,1.8745925
220,0.011035587,0.0026232235,-0.008412363,0.23770584
221,0.011649666,0.097845145,0.08619548,8.398966
222,0.0059337425,0.005708604,-0.00022513838,0.96205795
223,0.0015572957,0.010755101,0.009197805,6.906268
224,0.06551292,0.053242058,-0.01227086,0.81269556
225,0.070624925,0.024153009,-0.046471916,0.34198987
226,0.009409932,0.087863356,0.07845342,9.337299
227,0.0005900049,0.0066029797,0.006012975,11.191398
228,0.017442709,0.0031044972,-0.014338212,0.17798251
229,0.0070528225,0.0110729905,0.004020168,1.5700084
230,0.025015652,0.010109033,-0.014906619,0.40410832
231,0.05589731,0.03770766,-0.01818965,0.6745881
232,0.0037190411,0.025019169,0.021300128,6.727317
233,0.1236203,0.03550239,-0.08811791,0.28718898
234,0.01633267,0.009987877,-0.0063447924,0.6115275
235,0.02923999,0.0071942764,-0.022045713,0.24604237
236,0.015447479,0.109941624,0.09449415,7.117124
237,0.0141618,0.016567776,0.002405976,1.169892
238,0.005777891,0.02234417,0.01656628,3.8671846
239,0.021646028,0.18658432,0.1649383,8.619795
240,0.08526113,0.24014382,0.1548827,2.8165686
241,0.15778285,0.23427024,0.07648739,1.4847636
242,0.052708503,0.16890591,0.11619741,3.2045288
243,0.0101970425,0.043598253,0.03340121,4.2755785
244,0.018360896,0.01209307,-0.006267826,0.6586318
245,0.02740104,0.01644231,-0.010958729,0.60006154
246,0.008952613,0.0042019235,-0.0047506895,0.46935162
247,0.03659189,0.00782089,-0.028771002,0.21373288
