dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
258,0.02206327,0.03396395,0.011900678,1.5393887
259,0.035559885,0.09240496,0.056845076,2.5985732
260,0.02699155,0.030499319,0.0035077687,1.129958
261,0.008663198,0.0030193634,-0.0056438344,0.34852758
262,0.007504673,0.015365965,0.007861292,2.0475194
263,0.13255765,0.044571903,-0.08798574,0.33624542
264,0.0236744,0.015019414,-0.0086549865,0.6344158
265,0.011581684,0.20955484,0.19797315,18.093641
266,0.056671493,0.12491156,0.06824007,2.204134
267,0.024171224,0.021222811,-0.0029484127,0.8780197
268,0.05365148,0.045206722,-0.008444756,0.84259975
269,0.004067806,0.057646014,0.05357821,14.171279
270,0.009523123,0.045753412,0.03623029,4.804455
271,0.02698315,0.04039842,0.01341527,1.4971721
272,0.05048432,0.026908051,-0.023576267,0.5329982
273,0.00045462104,0.011712587,0.011257966,25.763409
274,0.00951249,0.025851846,0.016339356,2.717674
275,0.0032164718,0.05679926,0.053582788,17.65887
276,0.015822152,0.004151954,-0.011670198,0.26241398
277,0.0025292824,0.0019151223,-0.0006141601,0.7571801
278,0.03148614,0.023863265,-0.0076228734,0.7578975
279,0.02102015,0.005469573,-0.015550576,0.2602062
280,0.012397396,0.006683947,-0.0057134493,0.5391412
281,0.019966908,0.18186201,0.1618951,9.108171
282,0.14991076,0.06953339,-0.08037737,0.4638319
283,0.0026614086,0.011430068,0.008768659,4.2947435
284,0.018377129,0.019355133,0.0009780042,1.0532186
285,0.014532948,0.009274745,-0.0052582026,0.63818747
286,0.05024349,0.09887488,0.048631392,1.9679143
287,0.052653916,0.035981447,-0.01667247,0.6833575
288,0.012258275,0.0032868844,-0.008971391,0.26813596
289,0.0038788707,0.015785264,0.011906393,4.0695515
290,0.07012623,0.023411855,-0.046714373,0.33385304
291,0.018088633,0.012674356,-0.0054142773,0.7006807
292,0.011644906,0.00683919,-0.004805716,0.58731174
293,0.0129128955,0.0076463865,-0.005266509,0.59215117
294,0.016277198,0.01669141,0.00041421317,1.0254475
295,0.026552279,0.01840488,-0.008147398,0.69315636
296,0.036839016,0.012796261,-0.024042755,0.34735623
297,0.008752403,0.31207508,0.30332267,35.655933
298,0.03270621,0.15117522,0.11846901,4.6222177
299,0.09494138,0.020479694,-0.07446168,0.21570884
300,0.016234536,0.014914185,-0.0013203509,0.91867024
301,0.02611669,0.15100388,0.12488719,5.7818923
302,0.015347894,0.019251088,0.0039031934,1.2543145
303,0.016261403,0.010503024,-0.0057583787,0.6458867
304,0.04218926,0.06544529,0.02325603,1.551231
305,0.005507843,0.048526186,0.043018345,8.810379
306,0.019208554,0.11140854,0.09219998,5.799944
307,0.0045464807,0.004686078,0.00013959734,1.0307045
308,0.018248007,0.18098255,0.16273454,9.917935
309,0.057863176,0.009100952,-0.048762225,0.157284
310,0.018009955,0.014790413,-0.003219542,0.8212354
311,0.058908336,0.052561175,-0.006347161,0.8922536
312,0.04530762,0.02405619,-0.02125143,0.5309524
313,0.015545076,0.17133576,0.15579069,11.021867
314,0.015043308,0.08642804,0.07138473,5.7452817
315,0.03145947,0.011339338,-0.020120133,0.36044276
316,0.027888011,0.054575074,0.026687063,1.9569367
317,0.026607543,0.0051955553,-0.021411989,0.19526625
318,0.019277403,0.009574708,-0.0097026955,0.49668035
319,0.056699432,0.024766836,-0.031932596,0.43680924
320,0.019134576,0.2675629,0.24842831,13.983215
321,0.025344823,0.020367237,-0.0049775857,0.80360544
322,0.027389564,0.061904278,0.034514714,2.2601411
323,0.003192441,0.005403596,0.002211155,1.692622
324,0.0057102744,0.0027236347,-0.0029866397,0.47697088
325,0.021760607,0.0392289,0.017468294,1.8027484
326,0.0041096956,0.006557049,0.0024473537,1.5955073
327,0.056198847,0.068373285,0.012174439,1.2166314
328,0.122268826,0.036827184,-0.08544164,0.30119848
329,0.008724879,0.0145775,0.005852621,1.6707969
330,0.031771254,0.14305381,0.11128256,4.502618
331,0.008651288,0.055633556,0.046982266,6.4306674
332,0.065439396,0.024521165,-0.04091823,0.37471563
333,0.016235461,0.0057829744,-0.010452487,0.35619402
334,0.012019291,0.0026337353,-0.009385555,0.21912569
335,0.04285527,0.29153237,0.2486771,6.802719
336,0.0020864017,0.03404735,0.03196095,16.318693
337,0.072486036,0.017527753,-0.054958284,0.2418087
338,0.0048759426,0.073840365,0.06896442,15.143813
