dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
160,0.18833378,0.04806678,-0.140267,0.25522125
161,0.010814648,0.009061985,-0.0017526634,0.83793616
162,0.07891986,0.07743531,-0.0014845505,0.98118913
163,0.011268752,0.012113765,0.0008450132,1.0749873
164,0.042644978,0.04389584,0.0012508631,1.029332
165,0.04333873,0.013000584,-0.030338146,0.2999761
166,0.03261646,0.0087350635,-0.023881394,0.26781154
167,0.07923532,0.049338873,-0.02989645,0.6226879
168,0.05302968,0.2680398,0.2150101,5.054524
169,0.039959606,0.0054214,-0.034538206,0.13567202
170,0.008923761,0.0052376757,-0.0036860849,0.58693594
171,0.019607214,0.0693991,0.049791887,3.5394678
172,0.011706132,0.0029841156,-0.008722017,0.254919
173,0.076202855,0.032232936,-0.043969918,0.42298856
174,0.03302335,0.043024927,0.010001577,1.3028638
175,0.048343733,0.097346865,0.04900313,2.0136397
176,0.008487015,0.002882485,-0.0056045298,0.33963472
177,0.018782917,0.0047128242,-0.014070094,0.25091013
178,0.066002,0.025802977,-0.04019902,0.39094236
179,0.24787587,0.20183459,-0.04604128,0.8142567
180,0.010771187,0.025365014,0.014593827,2.3548949
181,0.012805696,0.0018832576,-0.0109224375,0.14706406
182,0.029137556,0.07943657,0.050299015,2.7262607
183,0.011761053,0.021175034,0.009413981,1.8004369
184,0.5104229,0.767985,0.2575621,1.5046053
185,0.007541425,0.0025098566,-0.0050315685,0.33280933
186,0.036246687,0.013810196,-0.022436492,0.38100573
187,0.029253047,0.023558341,-0.005694706,0.8053295
188,0.054003175,0.3808149,0.32681173,7.0517135
189,0.12323989,0.16781698,0.044577092,1.36171
190,0.12752122,0.07673537,-0.050785847,0.6017459
191,0.0038096993,0.0065281144,0.002718415,1.713551
192,0.016059946,0.0048004542,-0.0112594925,0.2989085
193,0.046213582,0.117560536,0.07134695,2.5438526
194,0.082519524,0.0859738,0.0034542754,1.0418601
195,0.0069504683,0.007926153,0.0009756847,1.1403768
196,0.20869228,0.062278613,-0.14641367,0.29842317
197,0.033301294,0.03498037,0.0016790777,1.0504208
198,0.022008138,0.00677433,-0.015233807,0.30781025
199,0.014147462,0.37421858,0.36007112,26.451286
200,0.007902693,0.0075030667,-0.00039962633,0.9494316
201,0.033848878,0.20686376,0.17301488,6.111392
202,0.0065880762,0.016126797,0.00953872,2.4478765
203,0.026675627,0.028949477,0.0022738501,1.0852407
204,0.008844723,0.006013127,-0.002831596,0.67985475
205,0.004046189,0.45853698,0.45449078,113.325645
206,0.006575854,0.03654059,0.029964736,5.5567822
207,0.017857715,0.019859709,0.0020019934,1.112108
208,0.027540049,0.014264935,-0.013275114,0.51797056
209,0.13607667,0.08476034,-0.051316336,0.6228866
210,0.01729426,0.020128833,0.0028345734,1.1639025
211,0.010782223,0.019635875,0.008853652,1.8211341
212,0.035785444,0.017307006,-0.018478438,0.48363256
213,0.04474349,0.02571065,-0.01903284,0.5746233
214,0.04172278,0.0706479,0.028925125,1.6932694
215,0.005047973,0.0014057789,-0.003642194,0.27848387
216,0.13616346,0.14219236,0.0060289055,1.044277
217,0.006543201,0.03271426,0.026171058,4.999733
218,0.02103059,0.011847354,-0.009183236,0.5633391
219,0.009524735,0.015136581,0.005611846,1.5891867
220,0.010575989,0.0023520577,-0.008223931,0.222396
221,0.01539137,0.10006154,0.08467017,6.501146
222,0.006089806,0.005540854,-0.00054895226,0.9098572
223,0.002852096,0.010455778,0.0076036816,3.665998
224,0.059464544,0.06652418,0.0070596337,1.11872
225,0.06678034,0.032233454,-0.03454689,0.48267877
226,0.009666815,0.08967926,0.08001245,9.277022
227,0.0009511437,0.0053740866,0.004422943,5.650131
228,0.03462362,0.007482332,-0.027141288,0.21610485
229,0.008900994,0.008642341,-0.00025865342,0.97094107
230,0.028832128,0.013698258,-0.01513387,0.47510397
231,0.04445638,0.01850524,-0.025951141,0.4162561
232,0.0059712147,0.026003662,0.020032447,4.3548365
233,0.13843858,0.018299881,-0.120138705,0.13218772
234,0.020606164,0.014604175,-0.0060019884,0.7087285
235,0.03664043,0.005817255,-0.030823177,0.158766
236,0.01957263,0.12102118,0.10144855,6.183184
237,0.014236363,0.018749155,0.0045127925,1.3169905
238,0.00806559,0.025177171,0.01711158,3.1215537
239,0.0614634,0.171606,0.1101426,2.7920032
240,0.0505843,0.04263959,-0.007944711,0.84294116
241,0.23407881,0.2216551,-0.012423709,0.9469251
242,0.065086104,0.16087042,0.095784314,2.4716554
243,0.02366069,0.03381737,0.01015668,1.429264
244,0.017114967,0.0136854295,-0.0034295376,0.79961765
245,0.030385163,0.014599236,-0.015785927,0.48047253
246,0.0059449114,0.004180487,-0.0017644246,0.7032042
247,0.050393052,0.0133157475,-0.037077304,0.26423776
248,0.028530871,0.034974765,0.0064438935,1.2258569
249,0.01982109,0.009479878,-0.010341213,0.47827226
250,0.028495533,0.037567526,0.009071993,1.3183655
251,0.024469757,0.015518224,-0.008951534,0.6341797
252,0.03826032,0.0991791,0.06091878,2.5922182
253,0.07784676,0.03529623,-0.042550527,0.45340657
254,0.0078046187,0.0077198464,-8.477224e-05,0.9891382
255,0.094599,0.026741415,-0.067857586,0.2826818
256,0.019843362,0.07950695,0.059663586,4.0067277
257,0.06226076,0.06702083,0.0047600716,1.0764538
258,0.037000548,0.03901296,0.002012413,1.0543888
259,0.030446861,0.10495499,0.07450813,3.447153
260,0.025340019,0.030118631,0.0047786124,1.1885797
261,0.026247866,0.004796157,-0.02145171,0.1827256
262,0.013415586,0.009115312,-0.004300274,0.6794569
263,0.059864234,0.037411932,-0.022452302,0.6249463
264,0.023592008,0.012090868,-0.01150114,0.5124985
265,0.0061641037,0.20399751,0.1978334,33.094433
266,0.08447049,0.110642254,0.026171766,1.3098333
267,0.011447812,0.01121,-0.00023781229,0.9792264
268,0.06143822,0.047745463,-0.013692759,0.77712965
269,0.008518188,0.05123915,0.042720962,6.015264
270,0.012413709,0.04260646,0.030192751,3.4322104
271,0.022924265,0.023590224,0.00066595897,1.0290504
272,0.080164365,0.030362844,-0.04980152,0.3787574
273,0.0027788058,0.010130882,0.0073520765,3.6457684
274,0.010295564,0.0264092,0.016113635,2.5651047
275,0.004686231,0.05344946,0.04876323,11.40564
276,0.0165149,0.003783465,-0.012731435,0.22909403
277,0.0030280494,0.0034130209,0.0003849715,1.1271352
278,0.023120701,0.018769644,-0.004351057,0.8118112
279,0.024225898,0.0057011214,-0.018524777,0.23533168
280,0.005378356,0.0052804733,-9.7882934e-05,0.98180056
281,0.018741982,0.18877676,0.17003478,10.072401
282,0.18955486,0.05999172,-0.12956314,0.3164874
283,0.0045506014,0.0107131,0.006162499,2.3542163
284,0.020971505,0.019765459,-0.001206046,0.94249123
285,0.017834699,0.005149944,-0.012684755,0.2887598
286,0.04451264,0.087367125,0.042854484,1.9627486
287,0.10131741,0.030866709,-0.07045071,0.30465356
288,0.01273066,0.0033878454,-0.009342815,0.26611704
289,0.005346918,0.015428357,0.010081438,2.8854673
290,0.07056939,0.019702313,-0.050867073,0.27919066
291,0.016378766,0.010628105,-0.005750661,0.6488954
292,0.015273144,0.010051166,-0.005221978,0.6580941
293,0.0101997275,0.007479879,-0.0027198484,0.7333411
294,0.012911223,0.016750583,0.0038393606,1.2973661
295,0.015831582,0.013389104,-0.0024424782,0.8457212
296,0.023516232,0.008149999,-0.015366233,0.3465691
297,0.008492243,0.3289534,0.32046115,38.73575
298,0.0370853,0.18755032,0.15046503,5.0572686
299,0.06326947,0.019725237,-0.043544237,0.31176546
300,0.02095549,0.011492418,-0.009463072,0.54842037
301,0.012605661,0.15010434,0.13749868,11.907694
302,0.019554922,0.022662623,0.0031077005,1.1589216
303,0.014483936,0.01303156,-0.0014523761,0.899725
304,0.057499535,0.057874653,0.0003751181,1.0065238
305,0.012458851,0.049879834,0.037420984,4.0035663
306,0.04484605,0.09609197,0.05124592,2.1427076
307,0.0068249046,0.004979633,-0.0018452718,0.7296267
308,0.004411076,0.19391586,0.18950479,43.96112
309,0.038210507,0.010943713,-0.027266795,0.28640583
310,0.011378497,0.002727104,-0.008651393,0.23967172
311,0.09095258,0.055063806,-0.035888776,0.60541224
312,0.04393724,0.03670438,-0.0072328597,0.83538204
313,0.0153013365,0.2096,0.19429867,13.69815
314,0.019758571,0.098766394,0.07900782,4.9986606
315,0.017148962,0.013710647,-0.0034383154,0.799503
316,0.024833562,0.050810765,0.025977204,2.0460522
317,0.026655404,0.004678533,-0.021976871,0.17551912
318,0.020217936,0.003326329,-0.016891608,0.16452366
319,0.035541374,0.025972497,-0.0095688775,0.73076797
320,0.016007887,0.26612222,0.25011432,16.624443
321,0.026483506,0.023020051,-0.0034634545,0.8692222
322,0.03143839,0.058217168,0.026778776,1.8517858
323,0.00507837,0.0048985314,-0.00017983885,0.9645873
324,0.006453458,0.002178751,-0.0042747073,0.33760983
325,0.0318121,0.040869825,0.009057723,1.2847257
326,0.0063085943,0.0056928215,-0.0006157728,0.90239143
327,0.05774201,0.07177529,0.014033277,1.2430341
328,0.07220596,0.025014471,-0.04719149,0.3464322
329,0.0038066118,0.01232039,0.008513778,3.2365766
330,0.027173348,0.1762061,0.14903274,6.4845195
331,0.007180574,0.057785608,0.050605033,8.047492
332,0.0547,0.019957451,-0.03474255,0.36485288
333,0.021622082,0.0053333105,-0.016288772,0.24666035
334,0.008163528,0.0038084434,-0.004355084,0.46651933
335,0.060743522,0.29240957,0.23166604,4.8138394
336,0.006039839,0.033776756,0.027736917,5.5923276
337,0.055267572,0.016621951,-0.03864562,0.30075413
338,0.0077748885,0.068746425,0.060971536,8.842111
339,0.015503745,0.015301706,-0.00020203833,0.9869684
340,0.017366571,0.19296919,0.17560261,11.11153
341,0.014455489,0.024208246,0.009752757,1.674675
342,0.043295953,0.03958379,-0.0037121624,0.91426075
343,0.03290878,0.07221684,0.03930806,2.1944551
344,0.009892487,0.0038925163,-0.0059999707,0.39348206
345,0.09773635,0.03683715,-0.0608992,0.37690327
346,0.12255038,0.42693314,0.30438274,3.4837356
347,0.00084257015,0.0005422456,-0.00030032458,0.64356136
348,0.007824178,0.15691252,0.14908834,20.054825
349,0.0085685365,0.004422718,-0.0041458183,0.5161579
350,0.00605244,0.015406049,0.009353609,2.5454278
351,0.006513192,0.0067138337,0.0002006418,1.0308055
352,0.041556157,0.4053552,0.36379904,9.7543955
353,0.025926096,0.004571785,-0.02135431,0.17633913
